timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1774460251765,454,dashboard-0,302,Found,Thread Group 1-7,text,true,,927,210,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,453,0,0
1774460252219,485,dashboard-1,200,OK,Thread Group 1-7,text,true,,3801,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,485,0,0
1774460238525,3125,Login Flow,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-6,,true,,13375,1153,10,10,null,0,11868,0
1774460241549,671,open login page,200,OK,Thread Group 1-6,text,true,,3779,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,671,0,0
1774460246309,1368,Login  Request,200,OK,Thread Group 1-6,text,true,,4860,533,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,621,0,0
1774460246309,622,Login  Request-0,302,Found,Thread Group 1-6,text,true,,927,328,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,621,0,0
1774460246931,746,Login  Request-1,200,OK,Thread Group 1-6,text,true,,3933,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,746,0,0
1774460252433,1086,dashboard,200,OK,Thread Group 1-6,text,true,,4736,415,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,539,0,0
1774460252433,539,dashboard-0,302,Found,Thread Group 1-6,text,true,,927,210,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,539,0,0
1774460252973,546,dashboard-1,200,OK,Thread Group 1-6,text,true,,3809,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,546,0,0
1774460240035,3176,Login Flow,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-10,,true,,13390,1151,10,10,null,0,10907,0
1774460243304,1067,open login page,200,OK,Thread Group 1-10,text,true,,3809,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1067,0,0
1774460248382,1079,Login  Request,200,OK,Thread Group 1-10,text,true,,4859,531,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,534,0,0
1774460248382,534,Login  Request-0,302,Found,Thread Group 1-10,text,true,,927,326,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,534,0,0
1774460248917,544,Login  Request-1,200,OK,Thread Group 1-10,text,true,,3932,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,544,0,0
1774460253089,1030,dashboard,200,OK,Thread Group 1-10,text,true,,4722,415,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,500,0,0
1774460253089,500,dashboard-0,302,Found,Thread Group 1-10,text,true,,927,210,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,500,0,0
1774460253590,529,dashboard-1,200,OK,Thread Group 1-10,text,true,,3795,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,529,0,0
1774460238803,3421,Login Flow,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-8,,true,,13355,1151,10,10,null,0,12176,0
1774460243171,1200,open login page,200,OK,Thread Group 1-8,text,true,,3793,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1200,0,0
1774460248617,1181,Login  Request,200,OK,Thread Group 1-8,text,true,,4857,531,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,593,0,0
1774460249258,1164,Employee Flow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,4730,420,10,10,null,0,3979,0
1774460248617,594,Login  Request-0,302,Found,Thread Group 1-8,text,true,,927,326,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,593,0,0
1774460253236,1164,employee list,200,OK,Thread Group 1-3,text,true,,4730,420,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,555,0,0
1774460249211,587,Login  Request-1,200,OK,Thread Group 1-8,text,true,,3930,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,587,0,0
1774460253236,555,employee list-0,302,Found,Thread Group 1-3,text,true,,927,215,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,555,0,0
1774460253360,1040,dashboard,200,OK,Thread Group 1-8,text,true,,4705,415,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,501,0,0
1774460253360,502,dashboard-0,302,Found,Thread Group 1-8,text,true,,927,210,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,501,0,0
1774460253792,608,employee list-1,200,OK,Thread Group 1-3,text,true,,3803,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,608,0,0
1774460253863,537,dashboard-1,200,OK,Thread Group 1-8,text,true,,3778,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,537,0,0
1774460239169,3339,Login Flow,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-9,,true,,13377,1151,9,9,null,0,12069,0
1774460243130,1241,open login page,200,OK,Thread Group 1-9,text,true,,3778,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1241,0,0
1774460249307,1037,Login  Request,200,OK,Thread Group 1-9,text,true,,4866,531,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,504,0,0
1774460249307,504,Login  Request-0,302,Found,Thread Group 1-9,text,true,,927,326,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,504,0,0
1774460249812,532,Login  Request-1,200,OK,Thread Group 1-9,text,true,,3939,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,532,0,0
1774460253516,1061,dashboard,200,OK,Thread Group 1-9,text,true,,4733,415,9,9,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,481,0,0
1774460253516,481,dashboard-0,302,Found,Thread Group 1-9,text,true,,927,210,9,9,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,481,0,0
1774460253998,579,dashboard-1,200,OK,Thread Group 1-9,text,true,,3806,205,9,9,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,579,0,0
1774460249296,1058,Employee Flow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,4710,420,9,9,null,0,4557,0
1774460253852,1058,employee list,200,OK,Thread Group 1-5,text,true,,4710,420,9,9,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,548,0,0
1774460253852,548,employee list-0,302,Found,Thread Group 1-5,text,true,,927,215,9,9,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,548,0,0
1774460254401,509,employee list-1,200,OK,Thread Group 1-5,text,true,,3783,205,9,9,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,509,0,0
1774460249799,1089,Employee Flow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,4733,420,8,8,null,0,4771,0
1774460254570,1089,employee list,200,OK,Thread Group 1-4,text,true,,4733,420,8,8,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,555,0,0
1774460254570,555,employee list-0,302,Found,Thread Group 1-4,text,true,,927,215,8,8,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,555,0,0
1774460255126,533,employee list-1,200,OK,Thread Group 1-4,text,true,,3806,205,8,8,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,532,0,0
1774460251193,1116,Employee Flow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,4729,420,7,7,null,0,4207,0
1774460255398,1116,employee list,200,OK,Thread Group 1-2,text,true,,4729,420,7,7,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,551,0,0
1774460255398,551,employee list-0,302,Found,Thread Group 1-2,text,true,,927,215,7,7,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,551,0,0
1774460255950,564,employee list-1,200,OK,Thread Group 1-2,text,true,,3802,205,7,7,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,564,0,0
1774460252706,1014,Employee Flow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,4706,420,6,6,null,0,3276,0
1774460255980,1014,employee list,200,OK,Thread Group 1-7,text,true,,4706,420,6,6,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,516,0,0
1774460255980,517,employee list-0,302,Found,Thread Group 1-7,text,true,,927,215,6,6,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,516,0,0
1774460256498,496,employee list-1,200,OK,Thread Group 1-7,text,true,,3779,205,6,6,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,496,0,0
1774460252052,1000,Employee Flow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,4725,420,5,5,null,0,4840,0
1774460256890,1000,employee list,200,OK,Thread Group 1-1,text,true,,4725,420,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,479,0,0
1774460256890,480,employee list-0,302,Found,Thread Group 1-1,text,true,,927,215,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,479,0,0
1774460257370,520,employee list-1,200,OK,Thread Group 1-1,text,true,,3798,205,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,520,0,0
1774460254120,1034,Employee Flow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,4714,420,4,4,null,0,3164,0
1774460257283,1034,employee list,200,OK,Thread Group 1-10,text,true,,4714,420,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,492,0,0
1774460257283,492,employee list-0,302,Found,Thread Group 1-10,text,true,,927,215,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,492,0,0
1774460257776,541,employee list-1,200,OK,Thread Group 1-10,text,true,,3787,205,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,541,0,0
1774460254402,1130,Employee Flow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,4705,420,3,3,null,0,3310,0
1774460257710,1130,employee list,200,OK,Thread Group 1-8,text,true,,4705,420,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,502,0,0
1774460257710,502,employee list-0,302,Found,Thread Group 1-8,text,true,,927,215,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,502,0,0
1774460258213,627,employee list-1,200,OK,Thread Group 1-8,text,true,,3778,205,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,627,0,0
1774460254579,1144,Employee Flow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,4723,420,2,2,null,0,3279,0
1774460257856,1144,employee list,200,OK,Thread Group 1-9,text,true,,4723,420,2,2,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,501,0,0
1774460257856,501,employee list-0,302,Found,Thread Group 1-9,text,true,,927,215,2,2,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,501,0,0
1774460258358,642,employee list-1,200,OK,Thread Group 1-9,text,true,,3796,205,2,2,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,642,0,0
1774460253520,1287,Employee Flow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,4722,420,1,1,null,0,4618,0
1774460258136,1287,employee list,200,OK,Thread Group 1-6,text,true,,4722,420,1,1,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,671,0,0
1774460258136,671,employee list-0,302,Found,Thread Group 1-6,text,true,,927,215,1,1,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,671,0,0
1774460258808,615,employee list-1,200,OK,Thread Group 1-6,text,true,,3795,205,1,1,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,615,0,0
